순번,년도,모델명,제조사,유종,배기량,복합연비,등급,평균주행거리(km),전비(km/kWh),에너지단가(원/kWh),1년 유지비(원)
103,2023,EV6 항속형 RWD 19인치(빌트인캠미적용),기아,전기,0.0,5.4,2등급,15000,5.3,347.2,982641.5094339623
104,2023,EV6 항속형 RWD 19인치(빌트인캠적용),기아,전기,0.0,5.3,2등급,15000,5.3,347.2,982641.5094339623
105,2023,EV6 항속형 RWD 20인치,기아,전기,0.0,4.9,3등급,15000,5.3,347.2,982641.5094339623
106,2023,EV9 2WD 19인치 6인,기아,전기,0.0,4.2,3등급,15000,4.2,347.2,1239999.9999999998
107,2023,EV9 2WD 19인치 7인,기아,전기,0.0,4.2,3등급,15000,4.2,347.2,1239999.9999999998
108,2023,EV9 2WD 20인치 6인,기아,전기,0.0,4.1,4등급,15000,4.1,347.2,1270243.9024390245
109,2023,EV9 2WD 20인치 7인,기아,전기,0.0,4.1,4등급,15000,4.1,347.2,1270243.9024390245
110,2023,EV9 4WD 19인치 6인,기아,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
111,2023,EV9 4WD 19인치 7인,기아,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
112,2023,EV9 4WD 21인치 6인,기아,전기,0.0,3.9,4등급,15000,3.9,347.2,1335384.6153846153
113,2023,EV9 4WD 21인치 7인,기아,전기,0.0,3.9,4등급,15000,3.9,347.2,1335384.6153846153
114,2023,EV9 GTL 4WD 21인치 6인,기아,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
115,2023,EV9 GTL 4WD 21인치 7인,기아,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
116,2023,G80 Electrified,현대,전기,0.0,4.3,3등급,15000,4.3,347.2,1211162.7906976745
117,2023,G80 Electrified 24MY,현대,전기,0.0,4.3,3등급,15000,4.3,347.2,1211162.7906976745
118,2023,GV60 4WD 19인치,현대,전기,0.0,4.5,3등급,15000,4.9,347.2,1062857.1428571427
