년도,모델명,제조사,유종,배기량,복합연비,등급,CO2 배출량,평균주행거리(km),경유 단가(원/L),1년 유지비(원)
2022,"투싼 개조차 1.6디젤 2WD (19""타이어)",현대,경유,1598,15.3,2등급,122,15000,"1,474.20","1,445,294"
2022,BMW 740d xDrive,BMW,경유,2993,12.5,3등급,153,15000,"1,474.20","1,769,040"
2022,BMW X1 xDrive18d,BMW,경유,1995,12,3등급,159,15000,"1,474.20","1,842,750"
2022,렉스턴스포츠 2.2 디젤 2WD 6AT SCR,쌍용,경유,2157,10.4,4등급,188,15000,"1,474.20","2,126,250"
2022,"투싼 개조차 2.0디젤 2WD 8AT (20MY_19""타이어)",현대,경유,1995,13.8,2등급,137,15000,"1,474.20","1,602,391"
2022,티볼리 1.6 디젤 2WD 6AT SCR,쌍용,경유,1597,14.5,2등급,130,15000,"1,474.20","1,525,034"
2022,MINI Cooper SD Countryman ALL4,MINI,경유,1995,14.3,2등급,133,15000,"1,474.20","1,546,363"
2022,GV80(22MY) 3.0디젤 AWD 6인 22인치 타이어,현대,경유,2996,10.4,4등급,188,15000,"1,474.20","2,126,250"
2022,팰리세이드 2.2 디젤 AWD 8인 20인치 (21),현대,경유,2199,11.3,4등급,171,15000,"1,474.20","1,956,902"
2022,쏘렌토 2.2디젤 2WD 5인 20인치타이어(22),기아,경유,2151,13.7,3등급,139,15000,"1,474.20","1,614,087"
2022,짚 레니게이드,크라이슬러,경유,1956,11.8,3등급,164,15000,"1,474.20","1,873,983"
2022,벤츠 S350 d 4MATIC,벤츠,경유,2925,10.9,4등급,178,15000,"1,474.20","2,028,715"
2022,렉스턴 2.2 8AT 4WD SCR Step2 7인승 ISG,쌍용,경유,2157,11.1,4등급,175,15000,"1,474.20","1,992,162"
2022,스팅어 2.2디젤 2WD_18인치타이어,기아,경유,2199,14.1,2등급,135,15000,"1,474.20","1,568,297"
2022,"스포티지 1.6디젤 4WD (PE/18""타이어)",기아,경유,1598,14.1,2등급,134,15000,"1,474.20","1,568,297"
2022,코란도 1.6 디젤 6MT 2WD SCR,쌍용,경유,1597,15.6,2등급,120,15000,"1,474.20","1,417,500"
2022,카니발 2.2디젤 9인 18인치/19인치타이어(빌트인캠),기아,경유,2151,13,3등급,147,15000,"1,474.20","1,701,000"
2022,짚 체로키 2.2,크라이슬러,경유,2184,11.1,4등급,175,15000,"1,474.20","1,992,162"
2022,렉스턴스포츠칸 2.2 디젤 4WD 6AT SCR Step2(17인치),쌍용,경유,2157,10.5,4등급,185,15000,"1,474.20","2,106,000"
2022,Mercedes-Benz GLS 400 d 4MATIC,벤츠,경유,2925,9.8,4등급,199,15000,"1,474.20","2,256,428"
2022,렉스턴스포츠칸 2.2 디젤 4WD 6MT SCR Step2(17인치),쌍용,경유,2157,11.1,4등급,175,15000,"1,474.20","1,992,162"
2022,BMW 520d xDrive,BMW,경유,1995,13.5,3등급,141,15000,"1,474.20","1,638,000"
2022,포터 2.5디젤 장축 더블캡(유로6) (15),현대,경유,2497,9.4,4등급,207,15000,"1,474.20","2,352,446"
2022,MINI Cooper D Countryman ALL4,MINI,경유,1995,13.4,3등급,141,15000,"1,474.20","1,650,223"
2022,스타리아 라운지 리무진 2.2디젤 4WD 9인,현대,경유,2199,9.4,4등급,209,15000,"1,474.20","2,352,446"
2022,봉고 1톤 4X4장축 슈퍼캡(22),기아,경유,2497,9,5등급,218,15000,"1,474.20","2,457,000"
2022,BMW X1 xDrive18d,BMW,경유,1995,13.3,3등급,143,15000,"1,474.20","1,662,631"
2022,Tiguan Allspace 2.0 TDI,폭스바겐,경유,1968,13.5,3등급,141,15000,"1,474.20","1,638,000"
2022,GV70 2.2디젤 AWD 21인치 (스포츠패키지),현대,경유,2151,12,3등급,161,15000,"1,474.20","1,842,750"
